Estado,IBGE-Code,Município,PET_01,PET_02,PET_03,PET_04,PET_05,PET_06,PET_07,PET_08,PET_09,PET_10,PET_11,PET_12,PR_01,PR_02,PR_03,PR_04,PR_05,PR_06,PR_07,PR_08,PR_09,PR_10,PR_11,PR_12,latitude,longitude
PR,4119657,Pitangueiras,"122,01","105,56","109,69","91,96","71,23","57,06","65,36","88,72","96,69","114,41","121,18","131,12","196,47","177,93","108,50","91,00","101,27","73,67","60,77","43,57","71,73","160,20","127,47","140,87",-23.20912568179561,-51.572395851934
PR,4119707,Planaltina do Paraná,"130,07","120,13","117,08","96,57","75,96","63,66","73,35","97,85","108,56","123,77","135,56","141,02","157,27","155,30","76,57","77,90","98,00","94,57","52,07","42,80","73,53","167,13","133,60","126,03",-23.091576601118746,-52.93448102155454
PR,4119806,Planalto,"136,10","119,92","113,50","86,57","60,46","49,79","57,64","82,76","93,70","115,39","131,22","147,92","205,40","175,70","140,30","129,33","124,57","154,00","121,10","87,63","154,17","236,67","105,93","200,83",-25.737266250403103,-53.70779033898619
PR,4119905,Ponta Grossa,"112,58","96,11","98,53","76,47","54,78","44,85","51,21","71,89","80,80","98,89","108,39","117,49","200,87","208,67","127,77","91,53","89,90","100,27","83,53","76,83","121,43","165,47","127,57","146,13",-25.13971223249627,-50.0808340287972
PR,4119954,Pontal do Paraná,"120,93","99,98","104,00","78,13","58,29","46,06","48,96","59,88","66,33","86,88","102,47","120,44","314,60","287,87","299,87","172,40","117,90","106,30","94,30","77,00","120,33","178,87","156,93","183,57",-25.636394412172,-48.47460141897035
PR,4120002,Porecatu,"130,13","113,86","122,77","101,58","79,03","66,94","76,71","103,10","112,42","125,91","136,25","140,15","193,83","179,23","95,87","64,87","82,80","60,80","42,67","41,37","51,17","155,53","124,47","128,93",-22.742705706393227,-51.40994272095312
PR,4120101,Porto Amazonas,"112,53","95,10","95,42","73,40","53,18","42,83","48,76","69,32","78,08","95,04","107,30","118,44","185,70","207,47","123,13","95,67","81,73","112,90","81,20","72,27","115,87","155,07","117,93","144,43",-25.529709886056285,-49.8953237292272
PR,4120150,Porto Barreiro,"127,63","109,17","106,55","85,34","59,43","47,87","54,60","77,50","88,40","108,71","124,65","134,36","204,60","155,23","130,07","129,60","113,67","155,00","119,50","95,90","169,03","216,47","129,93","181,60",-25.58457444799383,-52.38218229715114
PR,4120200,Porto Rico,"134,61","120,57","122,38","99,97","80,56","68,06","79,22","105,35","113,79","128,07","138,10","144,23","150,20","162,60","76,07","78,47","95,33","93,57","39,10","42,97","73,20","179,17","138,77","142,97",-22.833060517001503,-53.3138010962441
PR,4120309,Porto Vitória,"114,81","96,51","93,60","68,53","52,74","41,01","46,84","65,35","75,24","95,52","114,22","124,74","177,17","157,33","142,50","119,40","113,37","131,90","115,20","114,73","157,07","189,77","129,43","162,93",-26.2277252061007,-51.22225480244799
PR,4120333,Prado Ferreira,"125,31","110,02","114,38","96,65","75,94","62,60","71,06","96,85","104,57","121,73","126,40","135,12","201,63","185,57","112,77","83,83","93,57","67,63","55,33","42,80","64,90","160,40","135,37","145,50",-23.025537137478405,-51.400559676980784
PR,4120358,Pranchita,"136,59","117,68","112,06","86,56","61,20","50,19","57,85","82,65","93,49","114,80","131,43","146,52","208,40","158,77","140,60","149,50","145,30","163,37","120,60","96,90","163,50","230,80","112,70","221,33",-25.96631105874401,-53.72115765992038
PR,4120408,Presidente Castelo Branco,"118,71","104,83","107,88","88,54","66,84","52,53","60,95","81,76","92,33","108,37","119,15","128,31","170,40","159,27","90,27","84,00","99,93","78,40","66,00","43,03","71,67","154,90","118,23","120,73",-23.263739801759808,-52.14936591537834
PR,4120507,Primeiro de Maio,"130,84","113,47","118,46","98,90","78,19","65,74","75,21","101,51","110,15","125,46","131,80","139,82","204,77","194,90","118,07","69,37","73,97","60,57","42,63","39,37","53,67","154,67","134,27","151,07",-22.862176846979885,-51.07406212352655
PR,4120606,Prudentópolis,"116,63","101,46","101,01","77,13","55,95","45,71","51,54","73,74","84,80","102,86","115,23","125,77","177,07","141,43","130,30","112,07","95,40","123,43","96,77","83,30","149,77","198,63","143,47","160,47",-25.13070693782447,-51.09794748956406
PR,4120655,Quarto Centenário,"133,32","121,46","115,64","91,54","66,66","54,46","63,30","87,68","100,27","120,14","131,72","143,57","212,87","152,67","101,07","100,70","117,80","137,50","104,57","66,03","134,60","193,97","92,73","166,07",-24.30311972124425,-53.15536744169988
PR,4120705,Quatiguá,"117,27","104,46","110,85","88,92","69,62","57,59","65,47","87,81","102,31","115,48","126,11","131,61","183,00","179,57","126,13","97,80","78,90","84,40","59,20","60,63","69,97","161,53","118,83","151,10",-23.562115075929608,-49.931873308835655
PR,4120804,Quatro Barras,"113,11","95,45","96,34","75,54","57,10","46,24","53,14","68,59","76,05","94,34","103,90","116,52","273,40","241,00","205,20","128,97","106,40","106,77","93,20","80,67","144,97","195,80","154,37","184,83",-25.36870483306605,-48.99437832205604
