IBGE-Code,Município,UF,CAD ou AWC (m³/m³),DTA (mm/m)
2927408,Salvador,BA,"0,042","41,5"
2927507,Santa Bárbara,BA,"0,089","88,6"
2927606,Santa Brígida,BA,"0,083","83,0"
2927705,Santa Cruz Cabrália,BA,"0,108","107,8"
2927804,Santa Cruz da Vitória,BA,"0,120","120,5"
2927903,Santa Inês,BA,"0,112","112,0"
2928000,Santaluz,BA,"0,086","86,0"
2928059,Santa Luzia,BA,"0,109","109,0"
2928109,Santa Maria da Vitória,BA,"0,125","125,2"
2928208,Santana,BA,"0,095","95,4"
2928307,Santanópolis,BA,"0,081","80,6"
2928406,Santa Rita de Cássia,BA,"0,091","90,6"
2928505,Santa Terezinha,BA,"0,088","88,0"
2928604,Santo Amaro,BA,"0,081","80,6"
2928703,Santo Antônio de Jesus,BA,"0,118","118,4"
2928802,Santo Estêvão,BA,"0,104","103,9"
2928901,São Desidério,BA,"0,081","80,6"
2928950,São Domingos,BA,"0,086","85,7"
2929008,São Félix,BA,"0,097","97,2"
2929057,São Félix do Coribe,BA,"0,103","103,4"
2929107,São Felipe,BA,"0,116","116,3"
2929206,São Francisco do Conde,BA,"0,046","46,5"
2929255,São Gabriel,BA,"0,142","142,1"
2929305,São Gonçalo dos Campos,BA,"0,077","76,8"
2929354,São José da Vitória,BA,"0,114","113,6"
2929370,São José do Jacuípe,BA,"0,077","77,0"
2929404,São Miguel das Matas,BA,"0,107","107,2"
2929503,São Sebastião do Passé,BA,"0,068","67,6"
2929602,Sapeaçu,BA,"0,098","97,7"
2929701,Sátiro Dias,BA,"0,088","88,0"
2929750,Saubara,BA,"0,049","49,3"
2929800,Saúde,BA,"0,064","64,0"
2929909,Seabra,BA,"0,117","117,2"
2930006,Sebastião Laranjeiras,BA,"0,156","155,9"
2930105,Senhor do Bonfim,BA,"0,091","90,6"
2930154,Serra do Ramalho,BA,"0,096","96,5"
2930204,Sento Sé,BA,"0,114","114,1"
2930303,Serra Dourada,BA,"0,103","103,0"
2930402,Serra Preta,BA,"0,087","86,6"
2930501,Serrinha,BA,"0,060","59,6"
2930600,Serrolândia,BA,"0,065","64,8"
2930709,Simões Filho,BA,"0,074","74,5"
